ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONLU8QC-97B08-7L3,INITIAL,0,15/12/25,US,1,127.91,WB,15/12/25,non-digital,No-Match,no-match,no-match,no-match,0.006635071,1.00E-05,6.64E-08,6.64E-08,1,127.91
ONMI7PN-38M03-2P5,INITIAL,0,06/11/25,US,1,249.32,WB,06/11/25,non-digital,No-Match,no-match,no-match,no-match,0.006635071,1.00E-05,6.64E-08,6.64E-08,1,249.32
ONJY1LE-62J68-4O2,INITIAL,0,01/12/25,CA,1,212.04,WB,07/11/25,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.015173945,1.00E-10,1.52E-12,0.16913611,8.97E-12,1.90E-09
ONJY1LE-62J68-4O2,INITIAL,0,01/12/25,CA,1,212.04,WB,01/12/25,mobile,Email POC,email,poc,20251201_CA_3PD_PYM_C,0.169133975,1,0.169133975,0.16913611,0.999987374,212.0373229
ONJY1LE-62J68-4O2,INITIAL,0,01/12/25,CA,1,212.04,WB,01/12/25,mobile,Direct,(direct),(none),(not set),0.213545522,1.00E-05,2.14E-06,0.16913611,1.26E-05,0.002677145
ONRY7KO-69J29-9J7,INITIAL,0,13/02/26,US,1,82.79,MO,23/01/26,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.092417062,1,0.092417062,0.092417062,1,82.79
ONUJ3QB-04A38-8K7,INITIAL,0,05/08/25,US,1,145.3,MO,11/07/25,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.092417062,1,0.092417062,0.227014218,0.407098121,59.15135699
ONUJ3QB-04A38-8K7,INITIAL,0,05/08/25,US,1,145.3,MO,01/08/25,non-digital,TM_CRM,tm_crm,tm_crm,tm_crm,0.134597156,1,0.134597156,0.227014218,0.592901879,86.14864301
ONPW3TW-61B58-4I3,INITIAL,0,25/05/26,US,1,65.49,WB,22/05/26,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.017387944,1.00E-10,1.74E-12,0.057573416,3.02E-11,1.98E-09
ONPW3TW-61B58-4I3,INITIAL,0,25/05/26,US,1,65.49,WB,25/05/26,mobile,Paid Search - Shopping,google,cpc,Shopping-Pens,0.057573416,1,0.057573416,0.057573416,1,65.49
ONFR4OT-59K34-4V2,INITIAL,0,30/04/25,US,1,304.94,MO,11/04/25,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1,0.016495765,0.016495765,1,304.9399999
ONFR4OT-59K34-4V2,INITIAL,0,30/04/25,US,1,304.94,MO,11/04/25,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1.00E-10,1.65E-12,0.016495765,1.00E-10,3.05E-08
ONFR4OT-59K34-4V2,INITIAL,0,30/04/25,US,1,304.94,MO,25/04/25,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.016495765,1.49E-10,4.53E-08
