ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONDV9WT-88W16-1C0,INITIAL,0,26/03/26,DE,1,428.4847,WB,26/03/26,desktop,Paid Search - NonBrand,google,cpc,NB-DE-DE-Writing-Pens,0.073522569,1,0.073522569,0.073522569,1,428.4847
ONFT0QC-17L48-2M1,UPDATE,0,08/09/25,DE,-1,-129.3737,MO,29/08/25,mobile,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.059250302,1.00E-10,5.93E-12,1.50E-11,-0.39516129,-51.12347823
ONFT0QC-17L48-2M1,INITIAL,0,08/09/25,DE,1,129.3737,MO,29/08/25,mobile,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.059250302,1.00E-10,5.93E-12,1.50E-11,0.39516129,51.12347823
ONFT0QC-17L48-2M1,INITIAL,0,08/09/25,DE,1,129.3737,MO,04/09/25,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.015719468,1.00E-10,1.57E-12,1.50E-11,0.10483871,13.56337177
ONFT0QC-17L48-2M1,UPDATE,0,08/09/25,DE,-1,-129.3737,MO,04/09/25,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.015719468,1.00E-10,1.57E-12,1.50E-11,-0.10483871,-13.56337177
ONFT0QC-17L48-2M1,INITIAL,0,08/09/25,DE,1,129.3737,MO,05/09/25,mobile,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.059250302,1.00E-10,5.93E-12,1.50E-11,0.39516129,51.12347823
ONFT0QC-17L48-2M1,UPDATE,0,08/09/25,DE,-1,-129.3737,MO,05/09/25,mobile,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.059250302,1.00E-10,5.93E-12,1.50E-11,-0.39516129,-51.12347823
ONFT0QC-17L48-2M1,INITIAL,0,08/09/25,DE,1,129.3737,MO,08/09/25,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.015719468,1.00E-10,1.57E-12,1.50E-11,0.10483871,13.56337177
ONFT0QC-17L48-2M1,UPDATE,0,08/09/25,DE,-1,-129.3737,MO,08/09/25,mobile,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.015719468,1.00E-10,1.57E-12,1.50E-11,-0.10483871,-13.56337177
ONQE4BB-00B82-6O6,INITIAL,0,09/09/25,DE,1,129.3737,MO,29/08/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1.00E-10,1.38E-11,0.03432228,4.03E-10,5.22E-08
ONQE4BB-00B82-6O6,INITIAL,0,09/09/25,DE,1,129.3737,MO,04/09/25,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.057591623,1.00E-10,5.76E-12,0.03432228,1.68E-10,2.17E-08
ONQE4BB-00B82-6O6,INITIAL,0,09/09/25,DE,1,129.3737,MO,05/09/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1.00E-10,1.38E-11,0.03432228,4.03E-10,5.22E-08
ONQE4BB-00B82-6O6,INITIAL,0,09/09/25,DE,1,129.3737,MO,08/09/25,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.057591623,1.00E-10,5.76E-12,0.03432228,1.68E-10,2.17E-08
ONQE4BB-00B82-6O6,INITIAL,0,09/09/25,DE,1,129.3737,MO,09/09/25,non-digital,WEB RECOVERY,web_rec,web_rec,web_rec,0.03432228,1,0.03432228,0.03432228,0.999999999,129.3736999
ONDC5CY-03V94-0P9,INITIAL,0,11/02/26,US,1,754.79,WB,30/01/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.03656156,6.71E-11,5.06E-08
ONDC5CY-03V94-0P9,INITIAL,0,11/02/26,US,1,754.79,WB,03/02/26,desktop,Paid Search - Shopping,google,cpc,Shopping-CatchAll,0.036558181,1,0.036558181,0.03656156,0.99990757,754.7202343
ONDC5CY-03V94-0P9,INITIAL,0,11/02/26,US,1,754.79,WB,11/02/26,desktop,Direct,(direct),(none),(not set),0.337940259,1.00E-05,3.38E-06,0.03656156,9.24E-05,0.069765602
ONCG0XL-40N09-0R6,INITIAL,0,22/04/25,DE,1,173.4437,MO,04/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1,0.138452589,0.138453351,0.999994496,173.4427453
ONCG0XL-40N09-0R6,UPDATE,0,22/04/25,DE,-1,-173.4437,MO,04/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1,0.138452589,0.138453351,-0.999994496,-173.4427453
ONCG0XL-40N09-0R6,INITIAL,0,22/04/25,DE,1,173.4437,MO,22/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1.00E-10,1.38E-11,0.138453351,1.00E-10,1.73E-08
ONCG0XL-40N09-0R6,UPDATE,0,22/04/25,DE,-1,-173.4437,MO,22/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1.00E-10,1.38E-11,0.138453351,-1.00E-10,-1.73E-08
ONCG0XL-40N09-0R6,INITIAL,0,22/04/25,DE,1,173.4437,MO,22/04/25,non-digital,Direct,(direct),(none),(not set),0.076207097,1.00E-05,7.62E-07,0.138453351,5.50E-06,0.000954664
ONCG0XL-40N09-0R6,UPDATE,0,22/04/25,DE,-1,-173.4437,MO,22/04/25,non-digital,Direct,(direct),(none),(not set),0.076207097,1.00E-05,7.62E-07,0.138453351,-5.50E-06,-0.000954664
ONPZ7AA-44N31-0P1,INITIAL,0,24/04/25,DE,1,173.4437,MO,04/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1,0.138452589,0.138453351,0.999994496,173.4427453
ONPZ7AA-44N31-0P1,INITIAL,0,24/04/25,DE,1,173.4437,MO,22/04/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.138452589,1.00E-10,1.38E-11,0.138453351,1.00E-10,1.73E-08
